Gene	Database	ID	Domain	Start	End	Seq_Length
Porphyridium_purpureum_KAA8497790.1	Pfam	PF05192	MutS_III	544	887	1222
Porphyridium_purpureum_KAA8497790.1	Pfam	PF05190	MutS_IV	741	842	1222
Porphyridium_purpureum_KAA8497790.1	Pfam	PF00488	MutS_V	943	1126	1222
Saccharomyces_cerevisiae_MSH2_P25847	Pfam	PF01624	MutS_I	19	124	964
Saccharomyces_cerevisiae_MSH2_P25847	Pfam	PF05188	MutS_II	141	284	964
Saccharomyces_cerevisiae_MSH2_P25847	Pfam	PF05192	MutS_III	330	627	964
Saccharomyces_cerevisiae_MSH2_P25847	Pfam	PF05190	MutS_IV	491	586	964
Saccharomyces_cerevisiae_MSH2_P25847	Pfam	PF00488	MutS_V	684	879	964
Selaginella_moellendorffii_XP_002981449.1	Pfam	PF01624	MutS_I	457	538	1254
Selaginella_moellendorffii_XP_002981449.1	Pfam	PF05188	MutS_II	565	684	1254
Selaginella_moellendorffii_XP_002981449.1	Pfam	PF05192	MutS_III	708	902	1254
Selaginella_moellendorffii_XP_002981449.1	Pfam	PF00488	MutS_V	964	1009	1254
Synechococcus_PCC6312_MutS1_WP_015123396.1	Pfam	PF01624	MutS_I	31	143	873
Synechococcus_PCC6312_MutS1_WP_015123396.1	Pfam	PF05188	MutS_II	152	285	873
Synechococcus_PCC6312_MutS1_WP_015123396.1	Pfam	PF05192	MutS_III	307	598	873
Synechococcus_PCC6312_MutS1_WP_015123396.1	Pfam	PF05190	MutS_IV	467	557	873
Synechococcus_PCC6312_MutS1_WP_015123396.1	Pfam	PF00488	MutS_V	650	837	873
Synechocystis_PCC6803_MutS1_P73769.2	Pfam	PF01624	MutS_I	26	141	878
Synechocystis_PCC6803_MutS1_P73769.2	Pfam	PF05188	MutS_II	150	287	878
Synechocystis_PCC6803_MutS1_P73769.2	Pfam	PF05192	MutS_III	305	596	878
Synechocystis_PCC6803_MutS1_P73769.2	Pfam	PF05190	MutS_IV	465	555	878
Synechocystis_PCC6803_MutS1_P73769.2	Pfam	PF00488	MutS_V	652	839	878
Zygnema_circumcarinatum_UTEX1559_14954.1	Pfam	PF01624	MutS_I	472	582	1394
Zygnema_circumcarinatum_UTEX1559_14954.1	Pfam	PF05188	MutS_II	592	656	1394
Zygnema_circumcarinatum_UTEX1559_14954.1	Pfam	PF05192	MutS_III	738	953	1394
Zygnema_circumcarinatum_UTEX1559_14954.1	Pfam	PF00488	MutS_V	1081	1242	1394
